rse_licensee,rse_name,public_offer_status,mysuper_product_name,product_category,single_strategy_lifecycle_indicator,lifecycle_stage_name,member_assets_000,proportion_of_total_assets_in_mysuper,member_accounts,strategic_growth_asset_allocation,performance_test_measure,pass_fail_indicator,lookback_period_years,actual_return_minus_benchmark_return,representative_administration_fees_and_expenses_rafe,relevant_benchmark_representative_administration_fees_and_expenses_brafe,10_year_net_investment_return_nir_p_a,10_year_nir_relative_to_saa_benchmark_portfolio_p_a,10_year_nir_relative_to_simple_reference_portfolio_p_a,10_year_net_return_50_000_rep_member_p_a,7_year_net_investment_return_nir_p_a,7_year_nir_relative_to_saa_benchmark_portfolio_p_a,7_year_nir_relative_to_simple_reference_portfolio_p_a,7_year_net_return_50_000_rep_member_p_a,5_year_net_investment_return_nir_p_a,5_year_nir_relative_to_saa_benchmark_portfolio_p_a,5_year_nir_relative_to_simple_reference_portfolio_p_a,5_year_net_return_50_000_rep_member_p_a,3_year_net_investment_return_nir_p_a,3_year_nir_relative_to_saa_benchmark_portfolio_p_a,3_year_nir_relative_to_simple_reference_portfolio_p_a,3_year_net_return_50_000_rep_member_p_a,administration_fees_and_costs_charged_10_000_account_balance,administration_fees_and_costs_charged_25_000_account_balance,administration_fees_and_costs_charged_50_000_account_balance,administration_fees_and_costs_charged_100_000_account_balance,administration_fees_and_costs_charged_250_000_account_balance,total_fees_and_costs_charged_10_000_account_balance,total_fees_and_costs_charged_25_000_account_balance,total_fees_and_costs_charged_50_000_account_balance,total_fees_and_costs_charged_100_000_account_balance,total_fees_and_costs_charged_250_000_account_balance
ANZ Staff Superannuation (Australia) Pty. Limited,ANZ Australian Staff Superannuation Scheme,Non-public offer,ANZ Staff MySuper,Generic,Single strategy,,2896332,0.39,15410,0.71,0.00124,Pass,10,0.00036,0.0016,0.002482,0.0675,4.00E-04,-0.006,0.0656,0.0665,0.0014,-0.0066,0.0648,0.0799,0.0067,-0.0054,0.0782,0.0938,0.0026,-0.0151,0.0921,0.0016,0.0016,0.0016,0.0016,0.0016,0.006,0.006,0.006,0.006,0.006
Australian Ethical Superannuation Pty Ltd,Australian Ethical Retail Superannuation Fund,Public offer,Australian Ethical Retail Superannuation Fund MySuper,Generic,Single strategy,,5428884,0.47,102670,0.71,0.00503,Pass,10,0.00611,0.00356,0.002482,0.0725,0.0061,0.0019,0.0669,0.0736,0.0077,0.0026,0.0682,0.0763,0.002,-0.0059,0.0708,0.0918,-0.0026,-0.0145,0.0879,0.0082,0.0047,0.0036,0.003,0.0026,0.0165,0.013,0.0119,0.0113,0.0109
Australian Meat Industry Superannuation Pty Ltd,Australian Meat Industry Superannuation Trust,Public offer,MySuper,Generic,Single strategy,,2828879,0.82,62070,0.76,0.00894,Pass,10,0.00893,0.00247,0.002482,0.0721,0.0089,-1.00E-04,0.0697,0.0684,0.0095,-0.0044,0.0659,0.0839,0.0205,-0.001,0.0813,0.0873,0.0077,-0.0235,0.0846,0.0095,0.0042,0.0025,0.0016,0.0011,0.0144,0.0091,0.0074,0.0065,0.006
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,,97263432,0.27,1997240,,0.00961,Pass,10,0.00938,0.00225,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Less than 50,,,,0.9,,,,,,,0.082,0.0096,0.0037,0.0796,0.0802,0.0087,4.00E-04,0.0778,0.0998,0.0146,0.0042,0.0973,0.1042,0.0027,-0.0171,0.1017,0.0072,0.0035,0.0022,0.0016,0.0012,0.0122,0.0084,0.0072,0.0066,0.0062
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 54  to 55,,,,0.82,,,,,,,0.0814,0.0099,0.0038,0.079,0.0794,0.0092,7.00E-04,0.077,0.0986,0.0152,0.0045,0.0961,0.1022,0.0037,-0.0165,0.0997,0.0072,0.0035,0.0022,0.0016,0.0012,0.0121,0.0083,0.0071,0.0064,0.0061
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 53 to 54,,,,0.84,,,,,,,0.0815,0.0099,0.0038,0.0791,0.0796,0.0091,6.00E-04,0.0772,0.0988,0.0151,0.0044,0.0964,0.1026,0.0034,-0.0167,0.1002,0.0072,0.0035,0.0022,0.0016,0.0012,0.0121,0.0083,0.0071,0.0065,0.0061
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 52 to 53,,,,0.86,,,,,,,0.0817,0.0098,0.0038,0.0793,0.0798,0.009,6.00E-04,0.0774,0.0991,0.015,0.0044,0.0966,0.1031,0.0032,-0.0168,0.1006,0.0072,0.0035,0.0022,0.0016,0.0012,0.0121,0.0084,0.0071,0.0065,0.0061
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 51 to 52,,,,0.88,,,,,,,0.0818,0.0097,0.0037,0.0794,0.08,0.0089,5.00E-04,0.0775,0.0994,0.0148,0.0043,0.0969,0.1035,0.003,-0.0169,0.1011,0.0072,0.0035,0.0022,0.0016,0.0012,0.0122,0.0084,0.0072,0.0065,0.0062
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 50 to 51,,,,0.9,,,,,,,0.0819,0.0097,0.0037,0.0795,0.0801,0.0088,5.00E-04,0.0777,0.0996,0.0147,0.0042,0.0971,0.1039,0.0028,-0.017,0.1015,0.0072,0.0035,0.0022,0.0016,0.0012,0.0122,0.0084,0.0072,0.0066,0.0062
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 55 to 56,,,,0.8,,,,,,,0.0802,0.0099,0.0036,0.0779,0.0783,0.0093,7.00E-04,0.0758,0.097,0.0155,0.0047,0.0945,0.1006,0.0043,-0.016,0.0982,0.0072,0.0035,0.0022,0.0016,0.0012,0.012,0.0083,0.007,0.0064,0.006
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 56 to 57,,,,0.78,,,,,,,0.0781,0.0095,0.003,0.0757,0.0763,0.0092,4.00E-04,0.0739,0.0944,0.0155,0.0048,0.0919,0.0983,0.0047,-0.0157,0.0959,0.0072,0.0035,0.0022,0.0016,0.0012,0.012,0.0083,0.007,0.0064,0.006
